"Country or Area","Year(s)","Variant","Value"
"Africa","2085","High variant","4317385.236"
"Africa","2085","Low variant","2374276.911"
"Africa","2085","Medium variant","3236044.117"
"Africa","2080","Constant-fertility scenario","7634193.896"
"Africa","2080","High variant","4031275.611"
"Africa","2080","Low variant","2348286.21"
"Africa","2080","Medium variant","3105038.964"
"Africa","2075","Constant-fertility scenario","6486909.699"
"Africa","2075","High variant","3750360.754"
"Africa","2075","Low variant","2309254.855"
"Africa","2075","Medium variant","2966011.087"
"Africa","2070","Constant-fertility scenario","5526725.915"
"Africa","2070","High variant","3476381.679"
"Africa","2070","Low variant","2257071.498"
"Africa","2070","Medium variant","2820005.187"
"Africa","2065","Constant-fertility scenario","4722172.167"
"Africa","2065","High variant","3211138.065"
"Africa","2065","Low variant","2192029.083"
"Africa","2065","Medium variant","2668298.502"
"Africa","2060","Constant-fertility scenario","4046527.515"
"Africa","2060","High variant","2955290.682"
"Africa","2060","Low variant","2115104.394"
"Africa","2060","Medium variant","2512188.003"
"Africa","2055","Constant-fertility scenario","3477457.603"
"Africa","2055","High variant","2708330.975"
"Africa","2055","Low variant","2027893.857"
"Africa","2055","Medium variant","2352921.862"
"Africa","2050","Constant-fertility scenario","2996915.398"
"Africa","2050","High variant","2469754.769"
"Africa","2050","Low variant","1931854.59"
"Africa","2050","Medium variant","2191598.905"
"Africa","2045","Constant-fertility scenario","2590937.347"
"Africa","2045","High variant","2241147.987"
"Africa","2045","Low variant","1828091.046"
"Africa","2045","Medium variant","2029823.558"
"Africa","2040","Constant-fertility scenario","2247831.392"
"Africa","2040","High variant","2025830.584"
"Africa","2040","Low variant","1717227.018"
"Africa","2040","Medium variant","1869561.239"
"Africa","2035","Constant-fertility scenario","1957765.538"
"Africa","2035","High variant","1826158.346"
"Africa","2035","Low variant","1601131.613"
"Africa","2035","Medium variant","1713090.387"
"Africa","2030","Constant-fertility scenario","1711237.842"
"Africa","2030","High variant","1641421.542"
"Africa","2030","Low variant","1482833.72"
"Africa","2030","Medium variant","1562046.989"
"Africa","2025","Constant-fertility scenario","1499435.537"
"Africa","2025","High variant","1468673.401"
"Africa","2025","Low variant","1365440.909"
"Africa","2025","Medium variant","1417057.18"
"Africa","2020","Constant-fertility scenario","1315899.247"
"Africa","2020","High variant","1305420.074"
"Africa","2020","Low variant","1250977.662"
"Africa","2020","Medium variant","1278198.882"
"Africa","2015","Constant-fertility scenario","1157022.463"
"Africa","2015","High variant","1155067.065"
"Africa","2015","Low variant","1135564.683"
"Africa","2015","Medium variant","1145315.872"
"Africa","2010","Constant-fertility scenario","1022234.4"
"Africa","2010","High variant","1022234.4"
"Africa","2010","Low variant","1022234.4"
"Africa","2010","Medium variant","1022234.4"
"Africa","2005","Medium variant","911119.875"
"Africa","2000","Medium variant","811100.956"
"Africa","1995","Medium variant","720930.706"
"Africa","1990","Medium variant","635286.969"
"Africa","1985","Medium variant","555275.925"
"Africa","1980","Medium variant","482803.249"
"Africa","1975","Medium variant","420317.86"
"Africa","1970","Medium variant","368148.001"
"Africa","1965","Medium variant","323916.011"
"Africa","1960","Medium variant","286728.577"
"Africa","1955","Medium variant","255520.975"
"Africa","1950","Medium variant","229895.014"
"Albania","2100","Constant-fertility scenario","1830.708"
"Albania","2100","High variant","3461.298"
"Albania","2100","Low variant","819.739"
"Albania","2100","Medium variant","1863.359"
"Albania","2095","Constant-fertility scenario","1921.113"
"Albania","2095","High variant","3397.55"
"Albania","2095","Low variant","927.92"
"Albania","2095","Medium variant","1925.021"
"Albania","2090","Constant-fertility scenario","2027.212"
"Albania","2090","High variant","3353.978"
"Albania","2090","Low variant","1063.609"
"Albania","2090","Medium variant","2006.576"
"Albania","2085","Constant-fertility scenario","2150.712"
"Albania","2085","High variant","3330.72"
"Albania","2085","Low variant","1226.3"
"Albania","2085","Medium variant","2109.146"
"Albania","2080","Constant-fertility scenario","2288.968"
"Albania","2080","High variant","3326.63"
"Albania","2080","Low variant","1411.408"
"Albania","2080","Medium variant","2230.411"
"Albania","2075","Constant-fertility scenario","2435.059"
"Albania","2075","High variant","3339.837"
"Albania","2075","Low variant","1609.782"
"Albania","2075","Medium variant","2364.05"
"Albania","2070","Constant-fertility scenario","2581.113"
"Albania","2070","High variant","3366.835"
"Albania","2070","Low variant","1810.959"
"Albania","2070","Medium variant","2501.779"
"Albania","2065","Constant-fertility scenario","2720.867"
"Albania","2065","High variant","3400.498"
"Albania","2065","Low variant","2006.976"
"Albania","2065","Medium variant","2635.714"
"Albania","2060","Constant-fertility scenario","2851.431"
"Albania","2060","High variant","3432.369"
"Albania","2060","Low variant","2195.705"
"Albania","2060","Medium variant","2761.793"
"Albania","2055","Constant-fertility scenario","2971.637"
"Albania","2055","High variant","3456.614"
"Albania","2055","Low variant","2378.661"
"Albania","2055","Medium variant","2879.654"
"Albania","2050","Constant-fertility scenario","3079.954"
"Albania","2050","High variant","3472.975"
"Albania","2050","Low variant","2555.568"
"Albania","2050","Medium variant","2989.747"
"Albania","2045","Constant-fertility scenario","3175.373"
"Albania","2045","High variant","3487.342"
"Albania","2045","Low variant","2722.405"
"Albania","2045","Medium variant","3091.934"
"Albania","2040","Constant-fertility scenario","3252.676"
"Albania","2040","High variant","3500.276"
"Albania","2040","Low variant","2868.114"
"Albania","2040","Medium variant","3179.21"
"Albania","2035","Constant-fertility scenario","3311.145"
"Albania","2035","High variant","3507.968"
"Albania","2035","Low variant","2988.796"
"Albania","2035","Medium variant","3247.212"
"Albania","2030","Constant-fertility scenario","3345.598"
"Albania","2030","High variant","3496.493"
"Albania","2030","Low variant","3084.05"
"Albania","2030","Medium variant","3290.159"
"Albania","2025","Constant-fertility scenario","3349.56"
"Albania","2025","High variant","3454.256"
"Albania","2025","Low variant","3156.168"
"Albania","2025","Medium variant","3305.21"
"Albania","2020","Constant-fertility scenario","3322.168"
"Albania","2020","High variant","3380.14"
"Albania","2020","Low variant","3207.282"
"Albania","2020","Medium variant","3293.71"
"Albania","2015","Constant-fertility scenario","3269.688"
"Albania","2015","High variant","3291.642"
"Albania","2015","Low variant","3224.876"
"Albania","2015","Medium variant","3258.259"
"Albania","2010","Constant-fertility scenario","3204.284"
"Albania","2010","High variant","3204.284"
"Albania","2010","Low variant","3204.284"
"Albania","2010","Medium variant","3204.284"
"Albania","2005","Medium variant","3141.8"
"Albania","2000","Medium variant","3071.856"
"Albania","1995","Medium variant","3141.102"
"Albania","1990","Medium variant","3289.483"
"Albania","1985","Medium variant","2957.39"
"Albania","1980","Medium variant","2671.3"
"Albania","1975","Medium variant","2400.801"
"Albania","1970","Medium variant","2135.599"
"Albania","1965","Medium variant","1869.942"
"Albania","1960","Medium variant","1610.565"
"Albania","1955","Medium variant","1378.998"
"Albania","1950","Medium variant","1215.002"
"Algeria","2100","Constant-fertility scenario","71915.375"
"Algeria","2100","High variant","65288.08"
"Algeria","2100","Low variant","22407.194"
"Algeria","2100","Medium variant","39983.254"
"Algeria","2095","Constant-fertility scenario","70074.222"
"Algeria","2095","High variant","63831.2"
"Algeria","2095","Low variant","24163.443"
"Algeria","2095","Medium variant","40724.805"
"Algeria","2090","Constant-fertility scenario","68236.473"
"Algeria","2090","High variant","62434.626"
"Algeria","2090","Low variant","26030.791"
"Algeria","2090","Medium variant","41492.436"
"Algeria","2085","Constant-fertility scenario","66416.593"
"Algeria","2085","High variant","61070.092"
"Algeria","2085","Low variant","27973.767"
"Algeria","2085","Medium variant","42268.737"
"Algeria","2080","Constant-fertility scenario","64672.084"
"Algeria","2080","High variant","59772.998"
"Algeria","2080","Low variant","29976.856"
"Algeria","2080","Medium variant","43065.09"
"Algeria","2075","Constant-fertility scenario","63065.395"
"Algeria","2075","High variant","58620.892"
"Algeria","2075","Low variant","32017.329"
"Algeria","2075","Medium variant","43897.231"
"Algeria","2070","Constant-fertility scenario","61605.098"
"Algeria","2070","High variant","57650.023"
"Algeria","2070","Low variant","34037.168"
"Algeria","2070","Medium variant","44743.307"
"Algeria","2065","Constant-fertility scenario","60220.906"
"Algeria","2065","High variant","56797.209"
"Algeria","2065","Low variant","35954.854"
"Algeria","2065","Medium variant","45534.592"
"Algeria","2060","Constant-fertility scenario","58782.121"
"Algeria","2060","High variant","55900.973"
"Algeria","2060","Low variant","37683.414"
"Algeria","2060","Medium variant","46165.906"
"Algeria","2055","Constant-fertility scenario","57153.362"
"Algeria","2055","High variant","54776.177"
"Algeria","2055","Low variant","39133.999"
"Algeria","2055","Medium variant","46519.855"
"Algeria","2050","Constant-fertility scenario","55271.892"
"Algeria","2050","High variant","53339.593"
"Algeria","2050","Low variant","40232.56"
"Algeria","2050","Medium variant","46521.56"
"Algeria","2045","Constant-fertility scenario","53179.655"
"Algeria","2045","High variant","51652.658"
"Algeria","2045","Low variant","40926.846"
"Algeria","2045","Medium variant","46160.503"
"Algeria","2040","Constant-fertility scenario","50981.631"
"Algeria","2040","High variant","49852.617"
"Algeria","2040","Low variant","41218.368"
"Algeria","2040","Medium variant","45490.264"
"Algeria","2035","Constant-fertility scenario","48760.493"
"Algeria","2035","High variant","48033.957"
"Algeria","2035","Low variant","41173.97"
"Algeria","2035","Medium variant","44594.857"
"Algeria","2030","Constant-fertility scenario","46472.224"
"Algeria","2030","High variant","46118.81"
"Algeria","2030","Low variant","40832.43"
"Algeria","2030","Medium variant","43475.065"
"Algeria","2025","Constant-fertility scenario","43992.712"
"Algeria","2025","High variant","43913.396"
"Algeria","2025","Low variant","40172.272"
"Algeria","2025","Medium variant","42042.83"
"Algeria","2020","Constant-fertility scenario","41230.692"
"Algeria","2020","High variant","41243.946"
"Algeria","2020","Low variant","39116.771"
"Algeria","2020","Medium variant","40180.358"
"Algeria","2015","Constant-fertility scenario","38326.331"
"Algeria","2015","High variant","38354.717"
"Algeria","2015","Low variant","37553.849"
"Algeria","2015","Medium variant","37954.282"
"Algeria","2010","Constant-fertility scenario","35468.208"
"Algeria","2010","High variant","35468.208"
"Algeria","2010","Low variant","35468.208"
"Algeria","2010","Medium variant","35468.208"
"Algeria","2005","Medium variant","32888.449"
"Algeria","2000","Medium variant","30533.827"
"Algeria","1995","Medium variant","28291.591"
"Algeria","1990","Medium variant","25299.182"
"Algeria","1985","Medium variant","22098.298"
"Algeria","1980","Medium variant","18811.199"
"Algeria","1975","Medium variant","16018.195"
"Algeria","1970","Medium variant","13746.185"
"Algeria","1965","Medium variant","11923.002"
"Algeria","1960","Medium variant","10799.997"
"Algeria","1955","Medium variant","9715.002"
"Algeria","1950","Medium variant","8752.997"
"American Samoa","2100","Constant-fertility scenario","380.716"
"American Samoa","2100","High variant","239.185"
"American Samoa","2100","Low variant","99.493"
"American Samoa","2100","Medium variant","157.854"
"American Samoa","2095","Constant-fertility scenario","345.904"
"American Samoa","2095","High variant","229.072"
"American Samoa","2095","Low variant","102.508"
"American Samoa","2095","Medium variant","156.295"
"American Samoa","2090","Constant-fertility scenario","314.32"
"American Samoa","2090","High variant","219.005"
"American Samoa","2090","Low variant","105.252"
"American Samoa","2090","Medium variant","154.364"
"American Samoa","2085","Constant-fertility scenario","285.662"
"American Samoa","2085","High variant","208.872"
"American Samoa","2085","Low variant","107.641"
"American Samoa","2085","Medium variant","152.014"
"American Samoa","2080","Constant-fertility scenario","259.69"
"American Samoa","2080","High variant","198.568"
"American Samoa","2080","Low variant","109.522"
"American Samoa","2080","Medium variant","149.148"
"American Samoa","2075","Constant-fertility scenario","236.2"
"American Samoa","2075","High variant","188.181"
"American Samoa","2075","Low variant","110.731"
"American Samoa","2075","Medium variant","145.727"
"American Samoa","2070","Constant-fertility scenario","214.953"
"American Samoa","2070","High variant","177.879"
"American Samoa","2070","Low variant","111.144"
"American Samoa","2070","Medium variant","141.748"
"American Samoa","2065","Constant-fertility scenario","195.615"
"American Samoa","2065","High variant","167.729"
"American Samoa","2065","Low variant","110.728"
"American Samoa","2065","Medium variant","137.216"
"American Samoa","2060","Constant-fertility scenario","177.869"
"American Samoa","2060","High variant","157.584"
"American Samoa","2060","Low variant","109.527"
"American Samoa","2060","Medium variant","132.124"
"American Samoa","2055","Constant-fertility scenario","161.538"
"American Samoa","2055","High variant","147.274"
"American Samoa","2055","Low variant","107.638"
"American Samoa","2055","Medium variant","126.484"
"American Samoa","2050","Constant-fertility scenario","146.69"
"American Samoa","2050","High variant","136.908"
"American Samoa","2050","Low variant","105.189"
"American Samoa","2050","Medium variant","120.458"
"American Samoa","2045","Constant-fertility scenario","133.467"
"American Samoa","2045","High variant","126.915"
"American Samoa","2045","Low variant","102.262"
"American Samoa","2045","Medium variant","114.295"
"American Samoa","2040","Constant-fertility scenario","121.764"
"American Samoa","2040","High variant","117.665"
"American Samoa","2040","Low variant","98.828"
"American Samoa","2040","Medium variant","108.142"
"American Samoa","2035","Constant-fertility scenario","111.178"
"American Samoa","2035","High variant","109.007"
"American Samoa","2035","Low variant","94.778"
"American Samoa","2035","Medium variant","101.873"
"American Samoa","2030","Constant-fertility scenario","101.141"
"American Samoa","2030","High variant","100.346"
"American Samoa","2030","Low variant","89.98"
"American Samoa","2030","Medium variant","95.164"
"American Samoa","2025","Constant-fertility scenario","91.407"
"American Samoa","2025","High variant","91.361"
"American Samoa","2025","Low variant","84.54"
"American Samoa","2025","Medium variant","87.953"
"American Samoa","2020","Constant-fertility scenario","82.29"
"American Samoa","2020","High variant","82.396"
"American Samoa","2020","Low variant","78.857"
"American Samoa","2020","Medium variant","80.63"
"American Samoa","2015","Constant-fertility scenario","74.749"
"American Samoa","2015","High variant","74.822"
"American Samoa","2015","Low variant","73.593"
"American Samoa","2015","Medium variant","74.208"
"American Samoa","2010","Constant-fertility scenario","68.42"
"American Samoa","2010","High variant","68.42"
"American Samoa","2010","Low variant","68.42"
"American Samoa","2010","Medium variant","68.42"
"American Samoa","2005","Medium variant","62.962"
"American Samoa","2000","Medium variant","57.625"
"American Samoa","1995","Medium variant","52.919"
"American Samoa","1990","Medium variant","47.052"
"American Samoa","1985","Medium variant","39.253"
"American Samoa","1980","Medium variant","32.526"
"American Samoa","1975","Medium variant","29.897"
"American Samoa","1970","Medium variant","27.288"
"American Samoa","1965","Medium variant","23.48"
"American Samoa","1960","Medium variant","20.041"
"American Samoa","1955","Medium variant","19.688"
"American Samoa","1950","Medium variant","18.937"
"Andorra","2100","Constant-fertility scenario","108.508"
"Andorra","2100","High variant","230.261"
"Andorra","2100","Low variant","111.584"
"Andorra","2100","Medium variant","162.037"
"Andorra","2095","Constant-fertility scenario","113.783"
"Andorra","2095","High variant","223.109"
"Andorra","2095","Low variant","115.797"
"Andorra","2095","Medium variant","162.06"
"Andorra","2090","Constant-fertility scenario","118.201"
"Andorra","2090","High variant","215.507"
"Andorra","2090","Low variant","119.278"
"Andorra","2090","Medium variant","161.328"
"Andorra","2085","Constant-fertility scenario","121.775"
"Andorra","2085","High variant","207.521"
"Andorra","2085","Low variant","122.04"
"Andorra","2085","Medium variant","159.914"
"Andorra","2080","Constant-fertility scenario","124.551"
"Andorra","2080","High variant","199.351"
"Andorra","2080","Low variant","124.102"
"Andorra","2080","Medium variant","157.918"
"Andorra","2075","Constant-fertility scenario","126.613"
"Andorra","2075","High variant","191.304"
"Andorra","2075","Low variant","125.524"
"Andorra","2075","Medium variant","155.493"
"Andorra","2070","Constant-fertility scenario","128.017"
"Andorra","2070","High variant","183.53"
"Andorra","2070","Low variant","126.351"
"Andorra","2070","Medium variant","152.72"
"Andorra","2065","Constant-fertility scenario","128.725"
"Andorra","2065","High variant","175.911"
"Andorra","2065","Low variant","126.58"
"Andorra","2065","Medium variant","149.569"
"Andorra","2060","Constant-fertility scenario","128.646"
"Andorra","2060","High variant","168.171"
"Andorra","2060","Low variant","126.169"
"Andorra","2060","Medium variant","145.941"
"Andorra","2055","Constant-fertility scenario","127.61"
"Andorra","2055","High variant","160.022"
"Andorra","2055","Low variant","124.971"
"Andorra","2055","Medium variant","141.663"
"Andorra","2050","Constant-fertility scenario","125.473"
"Andorra","2050","High variant","151.384"
"Andorra","2050","Low variant","122.825"
"Andorra","2050","Medium variant","136.617"
"Andorra","2045","Constant-fertility scenario","122.155"
"Andorra","2045","High variant","142.392"
"Andorra","2045","Low variant","119.572"
"Andorra","2045","Medium variant","130.758"
"Andorra","2040","Constant-fertility scenario","118.218"
"Andorra","2040","High variant","133.791"
"Andorra","2040","Low variant","115.714"
"Andorra","2040","Medium variant","124.684"
"Andorra","2035","Constant-fertility scenario","113.66"
"Andorra","2035","High variant","125.461"
"Andorra","2035","Low variant","111.279"
"Andorra","2035","Medium variant","118.36"
"Andorra","2030","Constant-fertility scenario","108.561"
"Andorra","2030","High variant","117.141"
"Andorra","2030","Low variant","106.419"
"Andorra","2030","Medium variant","111.78"
"Andorra","2025","Constant-fertility scenario","103.096"
"Andorra","2025","High variant","108.815"
"Andorra","2025","Low variant","101.371"
"Andorra","2025","Medium variant","105.092"
"Andorra","2020","Constant-fertility scenario","97.354"
"Andorra","2020","High variant","100.542"
"Andorra","2020","Low variant","96.284"
"Andorra","2020","Medium variant","98.411"
"Andorra","2015","Constant-fertility scenario","91.292"
"Andorra","2015","High variant","92.51"
"Andorra","2015","Low variant","90.836"
"Andorra","2015","Medium variant","91.672"
"Andorra","2010","Constant-fertility scenario","84.864"
"Andorra","2010","High variant","84.864"
"Andorra","2010","Low variant","84.864"
"Andorra","2010","Medium variant","84.864"
"Andorra","2005","Medium variant","77.888"
"Andorra","2000","Medium variant","64.634"
"Andorra","1995","Medium variant","64.699"
"Andorra","1990","Medium variant","52.773"
"Andorra","1985","Medium variant","47.414"
"Andorra","1980","Medium variant","37.328"
"Andorra","1975","Medium variant","30.967"
"Andorra","1970","Medium variant","24.364"
"Andorra","1965","Medium variant","18.529"
"Andorra","1960","Medium variant","13.377"
"Andorra","1955","Medium variant","9.217"
"Andorra","1950","Medium variant","6.197"
"Angola","2100","Constant-fertility scenario","470359.963"
"Angola","2100","High variant","85085.751"
"Angola","2100","Low variant","35533.224"
"Angola","2100","Medium variant","56051.881"
"Angola","2095","Constant-fertility scenario","388280.684"
"Angola","2095","High variant","81845.473"
"Angola","2095","Low variant","36920.281"
"Angola","2095","Medium variant","55874.574"
"Angola","2090","Constant-fertility scenario","320693.49"
"Angola","2090","High variant","78512.503"
"Angola","2090","Low variant","38133.942"
"Angola","2090","Medium variant","55474.693"
"Angola","2085","Constant-fertility scenario","265057.288"
"Angola","2085","High variant","75068.524"
"Angola","2085","Low variant","39122.473"
"Angola","2085","Medium variant","54821.869"
"Angola","2080","Constant-fertility scenario","219262.623"
"Angola","2080","High variant","71493.48"
"Angola","2080","Low variant","39834.395"
"Angola","2080","Medium variant","53886.633"
"Angola","2075","Constant-fertility scenario","181570.001"
"Angola","2075","High variant","67791.177"
"Angola","2075","Low variant","40236.677"
"Angola","2075","Medium variant","52659.658"
"Angola","2070","Constant-fertility scenario","150556.561"
"Angola","2070","High variant","63972.45"
"Angola","2070","Low variant","40299.117"
"Angola","2070","Medium variant","51134.116"
"Angola","2065","Constant-fertility scenario","125048.351"
"Angola","2065","High variant","60071.666"
"Angola","2065","Low variant","40014.127"
"Angola","2065","Medium variant","49325.622"
"Angola","2060","Constant-fertility scenario","104058.611"
"Angola","2060","High variant","56098.549"
"Angola","2060","Low variant","39377.274"
"Angola","2060","Medium variant","47242.56"
"Angola","2055","Constant-fertility scenario","86760.843"
"Angola","2055","High variant","52057.321"
"Angola","2055","Low variant","38395.791"
"Angola","2055","Medium variant","44900.515"
"Angola","2050","Constant-fertility scenario","72483.777"
"Angola","2050","High variant","47970.557"
"Angola","2050","Low variant","37094.802"
"Angola","2050","Medium variant","42334.143"
"Angola","2045","Constant-fertility scenario","60709.949"
"Angola","2045","High variant","43907.306"
"Angola","2045","Low variant","35513.968"
"Angola","2045","Medium variant","39604.621"
"Angola","2040","Constant-fertility scenario","51015.956"
"Angola","2040","High variant","39934.744"
"Angola","2040","Low variant","33663.168"
"Angola","2040","Medium variant","36752.89"
"Angola","2035","Constant-fertility scenario","43043.002"
"Angola","2035","High variant","36090.472"
"Angola","2035","Low variant","31560.214"
"Angola","2035","Medium variant","33810.933"
"Angola","2030","Constant-fertility scenario","36439.44"
"Angola","2030","High variant","32366.877"
"Angola","2030","Low variant","29240.265"
"Angola","2030","Medium variant","30801.122"
"Angola","2025","Constant-fertility scenario","30897.103"
"Angola","2025","High variant","28755.898"
"Angola","2025","Low variant","26777.142"
"Angola","2025","Medium variant","27766.519"
"Angola","2020","Constant-fertility scenario","26226.687"
"Angola","2020","High variant","25284.853"
"Angola","2020","Low variant","24275.551"
"Angola","2020","Medium variant","24780.202"
"Angola","2015","Constant-fertility scenario","22285.257"
"Angola","2015","High variant","22017.834"
"Angola","2015","Low variant","21667.052"
"Angola","2015","Medium variant","21842.443"
"Angola","2010","Constant-fertility scenario","19081.912"
"Angola","2010","High variant","19081.912"
"Angola","2010","Low variant","19081.912"
"Angola","2010","Medium variant","19081.912"
"Angola","2005","Medium variant","16489.021"
"Angola","2000","Medium variant","13926.373"
"Angola","1995","Medium variant","12105.105"
"Angola","1990","Medium variant","10335.052"
"Angola","1985","Medium variant","9065.562"
"Angola","1980","Medium variant","7638.42"
"Angola","1975","Medium variant","6637.419"
"Angola","1970","Medium variant","5926.333"
"Angola","1965","Medium variant","5431.135"
"Angola","1960","Medium variant","4963.068"
"Angola","1955","Medium variant","4541.519"
"Angola","1950","Medium variant","4147.509"
"Anguilla","2100","Constant-fertility scenario","21.849"
"Anguilla","2100","High variant","26.023"
"Anguilla","2100","Low variant","8.558"
"Anguilla","2100","Medium variant","15.529"
"Anguilla","2095","Constant-fertility scenario","21.679"
"Anguilla","2095","High variant","25.297"
"Anguilla","2095","Low variant","9.196"
"Anguilla","2095","Medium variant","15.754"
"Anguilla","2090","Constant-fertility scenario","21.495"
"Anguilla","2090","High variant","24.602"
"Anguilla","2090","Low variant","9.874"
"Anguilla","2090","Medium variant","15.991"
"Anguilla","2085","Constant-fertility scenario","21.299"
"Anguilla","2085","High variant","23.947"
"Anguilla","2085","Low variant","10.581"
"Anguilla","2085","Medium variant","16.234"
"Anguilla","2080","Constant-fertility scenario","21.123"
"Anguilla","2080","High variant","23.357"
"Anguilla","2080","Low variant","11.321"
"Anguilla","2080","Medium variant","16.5"
"Anguilla","2075","Constant-fertility scenario","20.975"
"Anguilla","2075","High variant","22.845"
"Anguilla","2075","Low variant","12.087"
"Anguilla","2075","Medium variant","16.798"
"Anguilla","2070","Constant-fertility scenario","20.854"
"Anguilla","2070","High variant","22.406"
"Anguilla","2070","Low variant","12.873"
"Anguilla","2070","Medium variant","17.119"
"Anguilla","2065","Constant-fertility scenario","20.743"
"Anguilla","2065","High variant","22.024"
"Anguilla","2065","Low variant","13.657"
"Anguilla","2065","Medium variant","17.445"
"Anguilla","2060","Constant-fertility scenario","20.642"
"Anguilla","2060","High variant","21.685"
"Anguilla","2060","Low variant","14.424"
"Anguilla","2060","Medium variant","17.762"
"Anguilla","2055","Constant-fertility scenario","20.525"
"Anguilla","2055","High variant","21.37"
"Anguilla","2055","Low variant","15.15"
